DSN Contacts
Spacecraft = MMS2
Attitude = Ideal Mission Attitude
StartTime = 2021-051/03:45:00 UTC  (MMS TAI: 1624592669)
StopTime = 2021-268/11:55:00 UTC  (MMS TAI: 1624592669)
Project = System Manager Contact Analysis
Source = FDGSS OPS
FileCreationDate = Feb 17 2021 12:33:09.342 UTC
Stations = Goldstone (DS24, DS26), Canberra (DS34, DS36), Madrid (DS54, DS56, DS65)

Contact Event            Entry Epoch (UTC)        Exit Epoch (UTC)         Duration (min)           Data Rate                AOS Constraint           LOS Constraint           
DS54 --> MMS2_2          2021-091/04:59:17        2021-091/10:30:35        331.30000                1.25 Mbps                FieldOfView              ReturnDataRate           
DS56 --> MMS2_2          2021-091/04:59:54        2021-091/10:30:36        330.70000                1.25 Mbps                Mask                     ReturnDataRate           
DS65 --> MMS2_2          2021-091/05:04:28        2021-091/10:30:35        326.11667                1.25 Mbps                Mask                     ReturnDataRate           
DS54 --> MMS2_2          2021-091/06:41:53        2021-091/08:36:48        114.91667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS56 --> MMS2_2          2021-091/06:41:53        2021-091/08:36:48        114.91667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS65 --> MMS2_2          2021-091/06:41:53        2021-091/08:36:47        114.90000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS54 --> MMS2_1          2021-091/07:24:17        2021-091/13:08:09        343.86667                1.25 Mbps                ReturnDataRate           FieldOfView              
DS56 --> MMS2_1          2021-091/07:24:17        2021-091/13:07:29        343.20000                1.25 Mbps                ReturnDataRate           Mask                     
DS65 --> MMS2_1          2021-091/07:24:17        2021-091/12:33:26        309.15000                1.25 Mbps                ReturnDataRate           Mask                     
DS54 --> MMS2_1          2021-091/09:06:39        2021-091/11:21:20        134.68333                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS56 --> MMS2_1          2021-091/09:06:39        2021-091/11:21:19        134.66667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS65 --> MMS2_1          2021-091/09:06:39        2021-091/11:21:19        134.66667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_1          2021-091/12:43:04        2021-091/21:03:51        500.78333                1.25 Mbps                FieldOfView              FieldOfView              
DS24 --> MMS2_1          2021-091/12:43:05        2021-091/21:03:51        500.76667                1.25 Mbps                FieldOfView              FieldOfView              
DS26 --> MMS2_1          2021-091/13:28:57        2021-091/21:03:51        454.90000                2.50 Mbps                ReturnDataRate           FieldOfView              
DS24 --> MMS2_1          2021-091/13:28:58        2021-091/21:03:51        454.88333                2.50 Mbps                ReturnDataRate           FieldOfView              
DS34 --> MMS2_1          2021-091/17:25:01        2021-092/05:54:19        749.30000                1.25 Mbps                FieldOfView              FieldOfView              
DS36 --> MMS2_1          2021-091/17:50:39        2021-092/05:37:27        706.80000                1.25 Mbps                Mask                     Mask                     
DS34 --> MMS2_1          2021-091/17:55:48        2021-092/05:54:19        718.51667                2.50 Mbps                ReturnDataRate           FieldOfView              
DS36 --> MMS2_1          2021-091/17:55:48        2021-092/05:37:27        701.65000                2.50 Mbps                ReturnDataRate           Mask                     
DS54 --> MMS2_1          2021-092/06:54:38        2021-092/09:01:14        126.60000                1.25 Mbps                FieldOfView              ReturnDataRate           
DS56 --> MMS2_1          2021-092/06:55:27        2021-092/09:01:14        125.78333                1.25 Mbps                Mask                     ReturnDataRate           
DS65 --> MMS2_1          2021-092/07:01:17        2021-092/09:01:14        119.95000                1.25 Mbps                Mask                     ReturnDataRate           
DS54 --> MMS2_1          2021-092/12:04:40        2021-092/13:29:37        84.95000                 1.25 Mbps                ReturnDataRate           FieldOfView              
DS56 --> MMS2_1          2021-092/12:04:43        2021-092/13:28:46        84.05000                 1.25 Mbps                ReturnDataRate           Mask                     
DS65 --> MMS2_1          2021-092/12:04:44        2021-092/12:41:48        37.06667                 1.25 Mbps                ReturnDataRate           Mask                     
DS26 --> MMS2_1          2021-092/15:00:27        2021-092/21:59:10        418.71667                1.25 Mbps                FieldOfView              FieldOfView              
DS26 --> MMS2_1          2021-092/15:00:27        2021-092/15:51:36        51.15000                 2.50 Mbps                FieldOfView              ReturnDataRate           
DS24 --> MMS2_1          2021-092/15:00:28        2021-092/21:59:07        418.65000                1.25 Mbps                FieldOfView              FieldOfView              
DS24 --> MMS2_1          2021-092/15:00:28        2021-092/15:51:34        51.10000                 2.50 Mbps                FieldOfView              ReturnDataRate           
DS34 --> MMS2_1          2021-092/18:47:27        2021-093/01:05:06        377.65000                1.25 Mbps                FieldOfView              ReturnDataRate           
DS34 --> MMS2_1          2021-092/18:47:27        2021-092/19:00:52        13.41667                 2.50 Mbps                FieldOfView              ReturnDataRate           
DS26 --> MMS2_1          2021-092/19:19:35        2021-092/21:59:10        159.58333                2.50 Mbps                ReturnDataRate           FieldOfView              
DS24 --> MMS2_1          2021-092/19:19:35        2021-092/21:59:07        159.53333                2.50 Mbps                ReturnDataRate           FieldOfView              
DS36 --> MMS2_1          2021-092/19:18:10        2021-093/01:05:06        346.93333                1.25 Mbps                Mask                     ReturnDataRate           
DS34 --> MMS2_1          2021-092/20:39:16        2021-093/00:11:44        212.46667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_1          2021-092/20:39:16        2021-093/00:11:44        212.46667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_1          2021-093/00:33:43        2021-093/01:01:29        27.76667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_1          2021-093/00:33:43        2021-093/01:01:29        27.76667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_1          2021-093/01:23:28        2021-093/03:21:51        118.38333                1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_1          2021-093/01:23:28        2021-093/03:21:49        118.35000                1.25 Mbps                ReturnDataRate           ForwardDataRate          
DS34 --> MMS2_1          2021-093/01:37:24        2021-093/02:03:52        26.46667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_1          2021-093/01:37:24        2021-093/02:03:51        26.45000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_1          2021-093/02:15:01        2021-093/03:21:51        66.83333                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_1          2021-093/02:15:01        2021-093/03:21:49        66.80000                 2.50 Mbps                ReturnDataRate           ForwardDataRate          
DS34 --> MMS2_1          2021-093/03:38:06        2021-093/04:46:29        68.38333                 1.25 Mbps                ForwardDataRate          Mask                     
DS34 --> MMS2_1          2021-093/03:38:06        2021-093/04:46:29        68.38333                 2.50 Mbps                ForwardDataRate          Mask                     
DS36 --> MMS2_1          2021-093/03:38:08        2021-093/04:42:02        63.90000                 1.25 Mbps                ForwardDataRate          Mask                     
DS36 --> MMS2_1          2021-093/03:38:08        2021-093/04:42:02        63.90000                 2.50 Mbps                ForwardDataRate          Mask                     
DS26 --> MMS2_1          2021-093/04:47:43        2021-093/05:30:28        42.75000                 1.25 Mbps                ForwardDataRate          ReturnDataRate           
DS26 --> MMS2_1          2021-093/04:47:43        2021-093/05:30:28        42.75000                 2.50 Mbps                ForwardDataRate          ReturnDataRate           
DS24 --> MMS2_1          2021-093/04:47:44        2021-093/05:30:28        42.73333                 1.25 Mbps                ForwardDataRate          ForwardDataRate          
DS24 --> MMS2_1          2021-093/04:47:44        2021-093/05:30:28        42.73333                 2.50 Mbps                ForwardDataRate          ForwardDataRate          
DS26 --> MMS2_2          2021-093/05:18:44        2021-093/08:15:01        176.28333                1.25 Mbps                ForwardDataRate          ReturnDataRate           
DS26 --> MMS2_2          2021-093/05:18:44        2021-093/07:27:13        128.48333                2.50 Mbps                ForwardDataRate          ReturnDataRate           
DS24 --> MMS2_2          2021-093/05:18:44        2021-093/08:15:01        176.28333                1.25 Mbps                ForwardDataRate          ReturnDataRate           
DS24 --> MMS2_2          2021-093/05:18:44        2021-093/07:27:13        128.48333                2.50 Mbps                ForwardDataRate          ReturnDataRate           
DS54 --> MMS2_2          2021-093/05:55:07        2021-093/08:05:00        129.88333                1.25 Mbps                FieldOfView              ReturnDataRate           
DS54 --> MMS2_2          2021-093/05:55:07        2021-093/07:53:18        118.18333                2.50 Mbps                FieldOfView              ReturnDataRate           
DS56 --> MMS2_2          2021-093/05:55:14        2021-093/08:05:00        129.76667                1.25 Mbps                Mask                     ReturnDataRate           
DS56 --> MMS2_2          2021-093/05:55:14        2021-093/07:53:18        118.06667                2.50 Mbps                Mask                     ReturnDataRate           
DS65 --> MMS2_2          2021-093/05:55:58        2021-093/08:05:00        129.03333                1.25 Mbps                Mask                     ReturnDataRate           
DS65 --> MMS2_2          2021-093/05:55:58        2021-093/07:53:18        117.33333                2.50 Mbps                Mask                     ReturnDataRate           
DS26 --> MMS2_2          2021-093/07:36:24        2021-093/08:02:28        26.06667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_2          2021-093/07:36:24        2021-093/08:02:28        26.06667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS54 --> MMS2_2          2021-093/08:17:35        2021-093/11:43:03        205.46667                1.25 Mbps                ReturnDataRate           FieldOfView              
DS54 --> MMS2_2          2021-093/08:21:00        2021-093/09:01:39        40.65000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS56 --> MMS2_2          2021-093/08:17:35        2021-093/11:24:41        187.10000                1.25 Mbps                ReturnDataRate           Mask                     
DS56 --> MMS2_2          2021-093/08:21:00        2021-093/09:01:39        40.65000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS65 --> MMS2_2          2021-093/08:17:35        2021-093/11:11:06        173.51667                1.25 Mbps                ReturnDataRate           Mask                     
DS65 --> MMS2_2          2021-093/08:21:00        2021-093/09:01:39        40.65000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_2          2021-093/08:30:41        2021-093/19:53:26        682.75000                1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_2          2021-093/08:33:53        2021-093/09:02:03        28.16667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_2          2021-093/08:30:41        2021-093/19:53:26        682.75000                1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_2          2021-093/08:33:53        2021-093/09:02:03        28.16667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS54 --> MMS2_2          2021-093/09:07:09        2021-093/11:43:03        155.90000                2.50 Mbps                ReturnDataRate           FieldOfView              
DS56 --> MMS2_2          2021-093/09:07:09        2021-093/11:24:41        137.53333                2.50 Mbps                ReturnDataRate           Mask                     
DS65 --> MMS2_2          2021-093/09:07:09        2021-093/11:11:06        123.95000                2.50 Mbps                ReturnDataRate           Mask                     
DS26 --> MMS2_2          2021-093/09:18:40        2021-093/13:28:16        249.60000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_2          2021-093/09:18:39        2021-093/13:28:15        249.60000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_2          2021-093/14:09:23        2021-093/18:40:32        271.15000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_2          2021-093/14:09:23        2021-093/18:40:31        271.13333                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-093/16:35:38        2021-094/03:13:16        637.63333                1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-093/16:44:38        2021-094/03:07:39        623.01667                1.25 Mbps                Mask                     Mask                     
DS34 --> MMS2_2          2021-093/17:36:03        2021-093/21:27:13        231.16667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-093/17:36:02        2021-093/21:27:13        231.18333                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS54 --> MMS2_2          2021-094/03:50:19        2021-094/12:43:33        533.23333                1.25 Mbps                FieldOfView              FieldOfView              
DS54 --> MMS2_2          2021-094/03:50:19        2021-094/12:43:33        533.23333                2.50 Mbps                FieldOfView              FieldOfView              
DS56 --> MMS2_2          2021-094/03:50:55        2021-094/12:42:56        532.01667                1.25 Mbps                Mask                     Mask                     
DS56 --> MMS2_2          2021-094/03:50:55        2021-094/12:42:56        532.01667                2.50 Mbps                Mask                     Mask                     
DS65 --> MMS2_2          2021-094/03:55:15        2021-094/12:38:42        523.45000                1.25 Mbps                Mask                     Mask                     
DS65 --> MMS2_2          2021-094/03:55:15        2021-094/12:38:42        523.45000                2.50 Mbps                Mask                     Mask                     
DS26 --> MMS2_2          2021-094/11:42:22        2021-094/20:35:56        533.56667                1.25 Mbps                FieldOfView              FieldOfView              
DS26 --> MMS2_2          2021-094/11:42:22        2021-094/19:13:36        451.23333                2.50 Mbps                FieldOfView              ReturnDataRate           
DS24 --> MMS2_2          2021-094/11:42:22        2021-094/20:35:56        533.56667                1.25 Mbps                FieldOfView              FieldOfView              
DS24 --> MMS2_2          2021-094/11:42:22        2021-094/19:13:35        451.21667                2.50 Mbps                FieldOfView              ReturnDataRate           
DS34 --> MMS2_2          2021-094/16:52:46        2021-095/04:06:41        673.91667                1.25 Mbps                FieldOfView              ReturnDataRate           
DS34 --> MMS2_2          2021-094/16:55:56        2021-095/02:35:42        579.76667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-094/17:17:54        2021-095/04:06:41        648.78333                1.25 Mbps                Mask                     ReturnDataRate           
DS36 --> MMS2_2          2021-094/17:17:54        2021-095/02:35:41        557.78333                2.50 Mbps                Mask                     ReturnDataRate           
DS34 --> MMS2_1          2021-095/00:39:57        2021-095/04:52:24        252.45000                1.25 Mbps                ReturnDataRate           FieldOfView              
DS36 --> MMS2_1          2021-095/00:39:54        2021-095/04:37:59        238.08333                1.25 Mbps                ReturnDataRate           Mask                     
DS34 --> MMS2_1          2021-095/03:08:59        2021-095/03:33:09        24.16667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_1          2021-095/03:08:53        2021-095/03:33:15        24.36667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS54 --> MMS2_1          2021-095/05:34:25        2021-095/13:02:27        448.03333                1.25 Mbps                FieldOfView              FieldOfView              
DS54 --> MMS2_1          2021-095/05:38:53        2021-095/12:57:42        438.81667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS56 --> MMS2_1          2021-095/05:35:06        2021-095/13:01:44        446.63333                1.25 Mbps                Mask                     Mask                     
DS56 --> MMS2_1          2021-095/05:38:53        2021-095/12:57:42        438.81667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS65 --> MMS2_1          2021-095/05:40:04        2021-095/12:23:53        403.81667                1.25 Mbps                Mask                     Mask                     
DS65 --> MMS2_1          2021-095/05:40:04        2021-095/12:23:53        403.81667                2.50 Mbps                Mask                     Mask                     
DS26 --> MMS2_1          2021-095/13:18:46        2021-095/21:04:38        465.86667                1.25 Mbps                FieldOfView              FieldOfView              
DS26 --> MMS2_1          2021-095/13:18:46        2021-095/16:53:58        215.20000                2.50 Mbps                FieldOfView              ReturnDataRate           
DS24 --> MMS2_1          2021-095/13:18:47        2021-095/21:04:38        465.85000                1.25 Mbps                FieldOfView              FieldOfView              
DS24 --> MMS2_1          2021-095/13:18:47        2021-095/16:53:57        215.16667                2.50 Mbps                FieldOfView              ReturnDataRate           
DS34 --> MMS2_1          2021-095/17:33:54        2021-096/06:59:48        805.90000                1.25 Mbps                FieldOfView              FieldOfView              
DS34 --> MMS2_1          2021-095/17:33:54        2021-095/20:19:50        165.93333                2.50 Mbps                FieldOfView              ReturnDataRate           
DS36 --> MMS2_1          2021-095/18:00:32        2021-096/06:39:14        758.70000                1.25 Mbps                Mask                     Mask                     
DS36 --> MMS2_1          2021-095/18:00:32        2021-095/20:19:48        139.26667                2.50 Mbps                Mask                     ReturnDataRate           
DS34 --> MMS2_1          2021-095/21:26:12        2021-095/22:43:25        77.21667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_1          2021-095/21:26:10        2021-095/22:43:23        77.21667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_1          2021-096/04:55:43        2021-096/06:59:48        124.08333                2.50 Mbps                ReturnDataRate           FieldOfView              
DS36 --> MMS2_1          2021-096/04:55:42        2021-096/06:39:14        103.53333                2.50 Mbps                ReturnDataRate           Mask                     
DS54 --> MMS2_1          2021-096/09:25:34        2021-096/10:50:47        85.21667                 1.25 Mbps                FieldOfView              ReturnDataRate           
DS54 --> MMS2_1          2021-096/09:25:34        2021-096/10:37:41        72.11667                 2.50 Mbps                FieldOfView              ReturnDataRate           
DS56 --> MMS2_1          2021-096/09:27:34        2021-096/10:50:47        83.21667                 1.25 Mbps                Mask                     ReturnDataRate           
DS56 --> MMS2_1          2021-096/09:27:34        2021-096/10:37:41        70.11667                 2.50 Mbps                Mask                     ReturnDataRate           
DS65 --> MMS2_1          2021-096/09:42:44        2021-096/10:50:47        68.05000                 1.25 Mbps                Mask                     ReturnDataRate           
DS65 --> MMS2_1          2021-096/09:42:44        2021-096/10:37:41        54.95000                 2.50 Mbps                Mask                     ReturnDataRate           
DS54 --> MMS2_1          2021-096/11:22:22        2021-096/11:51:26        29.06667                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS56 --> MMS2_1          2021-096/11:22:22        2021-096/11:51:26        29.06667                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS65 --> MMS2_1          2021-096/11:22:22        2021-096/11:51:26        29.06667                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS54 --> MMS2_1          2021-096/12:39:17        2021-096/13:03:01        23.73333                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS56 --> MMS2_1          2021-096/12:39:18        2021-096/13:03:01        23.71667                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS65 --> MMS2_1          2021-096/12:39:18        2021-096/12:53:13        13.91667                 1.25 Mbps                ReturnDataRate           Mask                     
DS54 --> MMS2_1          2021-096/12:49:18        2021-096/12:56:58        7.66667                  2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS56 --> MMS2_1          2021-096/12:49:18        2021-096/12:57:00        7.70000                  2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS65 --> MMS2_1          2021-096/12:49:18        2021-096/12:53:13        3.91667                  2.50 Mbps                ReturnDataRate           Mask                     
DS54 --> MMS2_1          2021-096/17:00:06        2021-096/17:37:31        37.41667                 1.25 Mbps                ForwardDataRate          FieldOfView              
DS54 --> MMS2_1          2021-096/17:00:06        2021-096/17:37:31        37.41667                 2.50 Mbps                ForwardDataRate          FieldOfView              
DS56 --> MMS2_1          2021-096/17:00:06        2021-096/17:37:22        37.26667                 1.25 Mbps                ForwardDataRate          Mask                     
DS56 --> MMS2_1          2021-096/17:00:06        2021-096/17:37:22        37.26667                 2.50 Mbps                ForwardDataRate          Mask                     
DS65 --> MMS2_1          2021-096/17:00:06        2021-096/17:36:08        36.03333                 1.25 Mbps                ForwardDataRate          Mask                     
DS65 --> MMS2_1          2021-096/17:00:06        2021-096/17:36:08        36.03333                 2.50 Mbps                ForwardDataRate          Mask                     
DS54 --> MMS2_2          2021-096/17:26:33        2021-096/17:37:31        10.96667                 1.25 Mbps                ForwardDataRate          FieldOfView              
DS54 --> MMS2_2          2021-096/17:29:04        2021-096/17:37:31        8.45000                  2.50 Mbps                ReturnDataRate           FieldOfView              
DS56 --> MMS2_2          2021-096/17:26:33        2021-096/17:37:22        10.81667                 1.25 Mbps                ForwardDataRate          Mask                     
DS56 --> MMS2_2          2021-096/17:29:04        2021-096/17:37:22        8.30000                  2.50 Mbps                ReturnDataRate           Mask                     
DS65 --> MMS2_2          2021-096/17:26:33        2021-096/17:36:08        9.58333                  1.25 Mbps                ForwardDataRate          Mask                     
DS65 --> MMS2_2          2021-096/17:29:04        2021-096/17:36:08        7.06667                  2.50 Mbps                ReturnDataRate           Mask                     
DS34 --> MMS2_2          2021-096/20:49:48        2021-096/20:58:33        8.75000                  1.25 Mbps                ForwardDataRate          ReturnDataRate           
DS36 --> MMS2_2          2021-096/20:49:48        2021-096/20:58:33        8.75000                  1.25 Mbps                ForwardDataRate          ReturnDataRate           
DS34 --> MMS2_2          2021-096/21:08:37        2021-096/21:39:38        31.01667                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-096/21:08:37        2021-096/21:39:38        31.01667                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-096/21:17:43        2021-096/21:35:39        17.93333                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-096/21:17:42        2021-096/21:35:38        17.93333                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-096/21:50:14        2021-096/22:18:33        28.31667                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-096/21:54:18        2021-096/22:08:23        14.08333                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-096/21:50:14        2021-096/22:18:33        28.31667                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-096/21:54:18        2021-096/22:08:23        14.08333                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-096/22:53:20        2021-096/23:27:02        33.70000                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-096/22:53:20        2021-096/23:27:02        33.70000                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-096/22:58:15        2021-096/23:12:43        14.46667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-096/22:58:15        2021-096/23:12:42        14.45000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-096/23:45:49        2021-097/01:09:23        83.56667                 1.25 Mbps                ReturnDataRate           FieldOfView              
DS36 --> MMS2_2          2021-096/23:45:48        2021-097/00:55:00        69.20000                 1.25 Mbps                ReturnDataRate           Mask                     
DS34 --> MMS2_2          2021-096/23:56:36        2021-097/01:09:23        72.78333                 2.50 Mbps                ReturnDataRate           FieldOfView              
DS36 --> MMS2_2          2021-096/23:56:36        2021-097/00:55:00        58.40000                 2.50 Mbps                ReturnDataRate           Mask                     
DS54 --> MMS2_2          2021-097/01:57:14        2021-097/12:15:07        617.88333                1.25 Mbps                FieldOfView              FieldOfView              
DS56 --> MMS2_2          2021-097/01:57:52        2021-097/11:57:48        599.93333                1.25 Mbps                Mask                     Mask                     
DS65 --> MMS2_2          2021-097/02:02:31        2021-097/12:10:31        608.00000                1.25 Mbps                Mask                     Mask                     
DS54 --> MMS2_2          2021-097/02:14:14        2021-097/06:15:34        241.33333                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS56 --> MMS2_2          2021-097/02:14:14        2021-097/06:15:34        241.33333                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS65 --> MMS2_2          2021-097/02:14:13        2021-097/06:15:34        241.35000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_2          2021-097/10:31:09        2021-097/20:07:43        576.56667                1.25 Mbps                FieldOfView              FieldOfView              
DS24 --> MMS2_2          2021-097/10:31:10        2021-097/20:07:43        576.55000                1.25 Mbps                FieldOfView              FieldOfView              
DS26 --> MMS2_2          2021-097/12:38:24        2021-097/20:07:43        449.31667                2.50 Mbps                ReturnDataRate           FieldOfView              
DS24 --> MMS2_2          2021-097/12:38:24        2021-097/20:07:43        449.31667                2.50 Mbps                ReturnDataRate           FieldOfView              
DS34 --> MMS2_2          2021-097/16:22:36        2021-098/03:57:21        694.75000                1.25 Mbps                FieldOfView              FieldOfView              
DS36 --> MMS2_2          2021-097/16:48:03        2021-098/03:44:19        656.26667                1.25 Mbps                Mask                     Mask                     
DS34 --> MMS2_2          2021-097/17:12:44        2021-098/03:55:34        642.83333                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-097/17:12:44        2021-098/03:44:19        631.58333                2.50 Mbps                ReturnDataRate           Mask                     
DS54 --> MMS2_2          2021-098/04:30:38        2021-098/10:04:01        333.38333                1.25 Mbps                FieldOfView              ReturnDataRate           
DS56 --> MMS2_2          2021-098/04:31:15        2021-098/10:04:01        332.76667                1.25 Mbps                Mask                     ReturnDataRate           
DS65 --> MMS2_2          2021-098/04:35:48        2021-098/10:04:01        328.21667                1.25 Mbps                Mask                     ReturnDataRate           
DS54 --> MMS2_2          2021-098/06:14:01        2021-098/08:11:05        117.06667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS56 --> MMS2_2          2021-098/06:14:00        2021-098/08:11:05        117.08333                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS65 --> MMS2_2          2021-098/06:14:00        2021-098/08:11:05        117.08333                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS54 --> MMS2_1          2021-098/06:57:44        2021-098/12:39:53        342.15000                1.25 Mbps                ReturnDataRate           FieldOfView              
DS56 --> MMS2_1          2021-098/06:57:44        2021-098/12:39:14        341.50000                1.25 Mbps                ReturnDataRate           Mask                     
DS65 --> MMS2_1          2021-098/06:57:44        2021-098/12:05:14        307.50000                1.25 Mbps                ReturnDataRate           Mask                     
DS54 --> MMS2_1          2021-098/08:40:41        2021-098/10:53:09        132.46667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS56 --> MMS2_1          2021-098/08:40:41        2021-098/10:53:08        132.45000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS65 --> MMS2_1          2021-098/08:40:41        2021-098/10:53:08        132.45000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_1          2021-098/12:14:26        2021-098/20:35:25        500.98333                1.25 Mbps                FieldOfView              FieldOfView              
DS24 --> MMS2_1          2021-098/12:14:27        2021-098/20:35:25        500.96667                1.25 Mbps                FieldOfView              FieldOfView              
DS26 --> MMS2_1          2021-098/13:02:10        2021-098/20:35:25        453.25000                2.50 Mbps                ReturnDataRate           FieldOfView              
DS24 --> MMS2_1          2021-098/13:02:11        2021-098/20:35:25        453.23333                2.50 Mbps                ReturnDataRate           FieldOfView              
DS34 --> MMS2_1          2021-098/16:56:30        2021-099/05:24:54        748.40000                1.25 Mbps                FieldOfView              FieldOfView              
DS36 --> MMS2_1          2021-098/17:22:07        2021-099/05:08:04        705.95000                1.25 Mbps                Mask                     Mask                     
DS34 --> MMS2_1          2021-098/17:29:40        2021-099/05:24:54        715.23333                2.50 Mbps                ReturnDataRate           FieldOfView              
DS36 --> MMS2_1          2021-098/17:29:41        2021-099/05:08:04        698.38333                2.50 Mbps                ReturnDataRate           Mask                     
DS54 --> MMS2_1          2021-099/06:24:10        2021-099/08:53:44        149.56667                1.25 Mbps                FieldOfView              ReturnDataRate           
DS56 --> MMS2_1          2021-099/06:24:58        2021-099/08:53:44        148.76667                1.25 Mbps                Mask                     ReturnDataRate           
DS65 --> MMS2_1          2021-099/06:30:46        2021-099/08:53:44        142.96667                1.25 Mbps                Mask                     ReturnDataRate           
DS26 --> MMS2_1          2021-099/14:26:23        2021-099/21:26:14        419.85000                1.25 Mbps                FieldOfView              FieldOfView              
DS26 --> MMS2_1          2021-099/14:26:23        2021-099/16:04:35        98.20000                 2.50 Mbps                FieldOfView              ReturnDataRate           
DS24 --> MMS2_1          2021-099/14:26:26        2021-099/21:26:13        419.78333                1.25 Mbps                FieldOfView              FieldOfView              
