DSN Contacts
Spacecraft = MMS2
Attitude = Ideal Mission Attitude
StartTime = 2021-051/03:45:00 UTC  (MMS TAI: 1624592669)
StopTime = 2021-268/11:55:00 UTC  (MMS TAI: 1624592669)
Project = System Manager Contact Analysis
Source = FDGSS OPS
FileCreationDate = Feb 17 2021 12:33:09.342 UTC
Stations = Goldstone (DS24, DS26), Canberra (DS34, DS36), Madrid (DS54, DS56, DS65)

Contact Event            Entry Epoch (UTC)        Exit Epoch (UTC)         Duration (min)           Data Rate                AOS Constraint           LOS Constraint           
DS56 --> MMS2_2          2021-052/06:51:15        2021-052/15:34:16        523.01667                1.25 Mbps                Mask                     Mask                     
DS56 --> MMS2_2          2021-052/06:51:15        2021-052/15:29:33        518.30000                2.50 Mbps                Mask                     ReturnDataRate           
DS65 --> MMS2_2          2021-052/06:55:34        2021-052/15:29:59        514.41667                1.25 Mbps                Mask                     Mask                     
DS65 --> MMS2_2          2021-052/06:55:34        2021-052/15:29:32        513.96667                2.50 Mbps                Mask                     ReturnDataRate           
DS26 --> MMS2_2          2021-052/14:38:09        2021-052/23:26:26        528.28333                1.25 Mbps                FieldOfView              FieldOfView              
DS26 --> MMS2_2          2021-052/14:41:47        2021-052/21:37:35        415.80000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_2          2021-052/14:38:10        2021-052/23:26:24        528.23333                1.25 Mbps                FieldOfView              FieldOfView              
DS24 --> MMS2_2          2021-052/14:41:48        2021-052/21:37:34        415.76667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-052/19:43:52        2021-053/06:17:01        633.15000                1.25 Mbps                FieldOfView              ReturnDataRate           
DS34 --> MMS2_2          2021-052/19:52:18        2021-053/04:20:27        508.15000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-052/20:09:00        2021-053/06:17:00        608.00000                1.25 Mbps                Mask                     ReturnDataRate           
DS36 --> MMS2_2          2021-052/20:09:00        2021-053/04:20:26        491.43333                2.50 Mbps                Mask                     ReturnDataRate           
DS34 --> MMS2_1          2021-053/02:14:25        2021-053/07:45:53        331.46667                1.25 Mbps                ReturnDataRate           FieldOfView              
DS36 --> MMS2_1          2021-053/02:14:24        2021-053/07:31:09        316.75000                1.25 Mbps                ReturnDataRate           Mask                     
DS34 --> MMS2_1          2021-053/04:24:38        2021-053/06:52:11        147.55000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_1          2021-053/04:24:35        2021-053/06:52:11        147.60000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS54 --> MMS2_1          2021-053/08:30:00        2021-053/15:50:53        440.88333                1.25 Mbps                FieldOfView              FieldOfView              
DS54 --> MMS2_1          2021-053/08:30:00        2021-053/15:50:53        440.88333                2.50 Mbps                FieldOfView              FieldOfView              
DS56 --> MMS2_1          2021-053/08:30:43        2021-053/15:50:08        439.41667                1.25 Mbps                Mask                     Mask                     
DS56 --> MMS2_1          2021-053/08:30:43        2021-053/15:50:08        439.41667                2.50 Mbps                Mask                     Mask                     
DS65 --> MMS2_1          2021-053/08:35:46        2021-053/15:11:24        395.63333                1.25 Mbps                Mask                     Mask                     
DS65 --> MMS2_1          2021-053/08:35:46        2021-053/15:11:24        395.63333                2.50 Mbps                Mask                     Mask                     
DS26 --> MMS2_1          2021-053/16:17:11        2021-053/23:21:42        424.51667                1.25 Mbps                FieldOfView              ReturnDataRate           
DS26 --> MMS2_1          2021-053/16:17:11        2021-053/17:39:25        82.23333                 2.50 Mbps                FieldOfView              ReturnDataRate           
DS24 --> MMS2_1          2021-053/16:17:13        2021-053/23:21:41        424.46667                1.25 Mbps                FieldOfView              ReturnDataRate           
DS24 --> MMS2_1          2021-053/16:17:13        2021-053/17:39:24        82.18333                 2.50 Mbps                FieldOfView              ReturnDataRate           
DS34 --> MMS2_1          2021-053/20:27:56        2021-054/10:54:48        866.86667                1.25 Mbps                FieldOfView              FieldOfView              
DS34 --> MMS2_1          2021-053/20:27:56        2021-053/21:24:43        56.78333                 2.50 Mbps                FieldOfView              ReturnDataRate           
DS36 --> MMS2_1          2021-053/20:54:58        2021-054/10:27:23        812.41667                1.25 Mbps                Mask                     Mask                     
DS36 --> MMS2_1          2021-053/20:54:58        2021-053/21:24:41        29.71667                 2.50 Mbps                Mask                     ReturnDataRate           
DS34 --> MMS2_1          2021-053/22:04:00        2021-053/23:26:20        82.33333                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_1          2021-053/22:04:00        2021-053/23:26:19        82.31667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_1          2021-054/03:20:59        2021-054/10:54:48        453.81667                2.50 Mbps                ReturnDataRate           FieldOfView              
DS36 --> MMS2_1          2021-054/03:20:58        2021-054/10:27:23        426.41667                2.50 Mbps                ReturnDataRate           Mask                     
DS26 --> MMS2_2          2021-054/16:35:31        2021-054/19:03:54        148.38333                1.25 Mbps                FieldOfView              ReturnDataRate           
DS26 --> MMS2_2          2021-054/16:35:31        2021-054/18:00:40        85.15000                 2.50 Mbps                FieldOfView              ReturnDataRate           
DS24 --> MMS2_2          2021-054/16:35:31        2021-054/19:03:54        148.38333                1.25 Mbps                FieldOfView              ReturnDataRate           
DS24 --> MMS2_2          2021-054/16:35:31        2021-054/18:00:39        85.13333                 2.50 Mbps                FieldOfView              ReturnDataRate           
DS26 --> MMS2_2          2021-054/18:09:18        2021-054/18:50:18        41.00000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_2          2021-054/18:09:18        2021-054/18:50:18        41.00000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_2          2021-054/19:21:12        2021-054/21:18:09        116.95000                1.25 Mbps                ReturnDataRate           Mask                     
DS26 --> MMS2_2          2021-054/19:24:57        2021-054/19:56:24        31.45000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_2          2021-054/19:21:12        2021-054/21:18:10        116.96667                1.25 Mbps                ReturnDataRate           Mask                     
DS24 --> MMS2_2          2021-054/19:24:57        2021-054/19:56:24        31.45000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-054/19:22:51        2021-054/19:26:20        3.48333                  1.25 Mbps                ForwardDataRate          ReturnDataRate           
DS36 --> MMS2_2          2021-054/19:22:50        2021-054/19:26:20        3.50000                  1.25 Mbps                ForwardDataRate          ReturnDataRate           
DS34 --> MMS2_2          2021-054/19:46:43        2021-054/20:16:07        29.40000                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-054/19:46:42        2021-054/20:16:07        29.41667                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-054/19:55:47        2021-054/20:11:43        15.93333                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
