Record Length,2500,Points,-2.56E-04,6.00E-02,,Record Length,2500,Points,-2.56E-04,4.00E-02
Sample Interval,2.00E-07,s,-2.56E-04,6.00E-02,,Sample Interval,2.00E-07,s,-2.56E-04,1.20E-01
Trigger Point,1.28E+03,Samples,-2.56E-04,6.00E-02,,Trigger Point,1.28E+03,Samples,-2.56E-04,1.60E-01
,,,-2.55E-04,2.00E-02,,,,,-2.55E-04,1.20E-01
,,,-2.55E-04,2.00E-02,,,,,-2.55E-04,1.60E-01
,,,-2.55E-04,2.00E-02,,,,,-2.55E-04,1.60E-01
Source,CH1,,-2.55E-04,4.00E-02,,Source,CH2,,-2.55E-04,2.00E-01
Vertical Units,Volts,,-2.55E-04,0,,Vertical Units,Volts,,-2.55E-04,2.40E-01
Vertical Scale,5.12E-01,,-2.54E-04,0,,Vertical Scale,1.0239062,,-2.54E-04,2.40E-01
Vertical Offset,0,,-2.54E-04,-2.00E-02,,Vertical Offset,0,,-2.54E-04,2.80E-01
Horizontal Units,s,,-2.54E-04,0,,Horizontal Units,s,,-2.54E-04,2.80E-01
Horizontal Scale,5.00E-05,,-2.54E-04,0,,Horizontal Scale,5.00E-05,,-2.54E-04,3.20E-01
Pt Fmt,Y,,-2.54E-04,0,,Pt Fmt,Y,,-2.54E-04,3.60E-01
Yzero,1.95E-01,,-2.53E-04,-4.00E-02,,Yzero,1.95E-01,,-2.53E-04,3.60E-01
Probe Atten,1,,-2.53E-04,-4.00E-02,,Probe Atten,1,,-2.53E-04,3.60E-01
,,,-2.53E-04,-4.00E-02,,,,,-2.53E-04,3.60E-01
Note,TDS 2012 - 12:06:43 PM   3/14/2018,,-2.53E-04,0,,Note,TDS 2012 - 12:06:43 PM   3/14/2018,,-2.53E-04,4.00E-01
,,,-2.53E-04,-4.00E-02,,,,,-2.53E-04,4.40E-01
,,,-2.52E-04,-6.00E-02,,,,,-2.52E-04,4.80E-01
,,,-2.52E-04,-8.00E-02,,,,,-2.52E-04,4.40E-01
,,,-2.52E-04,-4.00E-02,,,,,-2.52E-04,4.80E-01
,,,-2.52E-04,-8.00E-02,,,,,-2.52E-04,5.20E-01
,,,-2.52E-04,-8.00E-02,,,,,-2.52E-04,4.80E-01
,,,-2.51E-04,-1.40E-01,,,,,-2.51E-04,5.20E-01
,,,-2.51E-04,-1.00E-01,,,,,-2.51E-04,6.00E-01
,,,-2.51E-04,-1.20E-01,,,,,-2.51E-04,6.00E-01
,,,-2.51E-04,-1.00E-01,,,,,-2.51E-04,6.00E-01
,,,-2.51E-04,-1.40E-01,,,,,-2.51E-04,6.40E-01
,,,-2.50E-04,-1.00E-01,,,,,-2.50E-04,6.80E-01
,,,-2.50E-04,-1.00E-01,,,,,-2.50E-04,6.80E-01
,,,-2.50E-04,-1.20E-01,,,,,-2.50E-04,6.80E-01
,,,-2.50E-04,-1.40E-01,,,,,-2.50E-04,7.20E-01
,,,-2.50E-04,-1.40E-01,,,,,-2.50E-04,7.20E-01
