Record Length,2500,Points,-2.50E-04,-1.20E-01,,Record Length,2500,Points,-2.50E-04,8.00E-02
Sample Interval,2.00E-07,s,-2.50E-04,-1.20E-01,,Sample Interval,2.00E-07,s,-2.50E-04,8.00E-02
Trigger Point,1.25E+03,Samples,-2.50E-04,-1.40E-01,,Trigger Point,1.25E+03,Samples,-2.50E-04,8.00E-02
,,,-2.49E-04,-1.40E-01,,,,,-2.49E-04,1.60E-01
,,,-2.49E-04,-1.60E-01,,,,,-2.49E-04,2.00E-01
,,,-2.49E-04,-1.60E-01,,,,,-2.49E-04,2.00E-01
Source,CH1,,-2.49E-04,-1.80E-01,,Source,CH2,,-2.49E-04,2.40E-01
Vertical Units,Volts,,-2.49E-04,-1.60E-01,,Vertical Units,Volts,,-2.49E-04,2.40E-01
Vertical Scale,5.12E-01,,-2.48E-04,-1.60E-01,,Vertical Scale,1.0239062,,-2.48E-04,2.40E-01
Vertical Offset,0,,-2.48E-04,-1.60E-01,,Vertical Offset,0,,-2.48E-04,2.80E-01
Horizontal Units,s,,-2.48E-04,-2.00E-01,,Horizontal Units,s,,-2.48E-04,3.20E-01
Horizontal Scale,5.00E-05,,-2.48E-04,-1.60E-01,,Horizontal Scale,5.00E-05,,-2.48E-04,3.60E-01
Pt Fmt,Y,,-2.48E-04,-2.00E-01,,Pt Fmt,Y,,-2.48E-04,3.60E-01
Yzero,1.9533038,,-2.47E-04,-2.00E-01,,Yzero,-1.9533038,,-2.47E-04,4.00E-01
Probe Atten,1,,-2.47E-04,-2.20E-01,,Probe Atten,1,,-2.47E-04,4.00E-01
,,,-2.47E-04,-2.40E-01,,,,,-2.47E-04,4.40E-01
Note,TDS 2012 - 12:21:44 PM   3/14/2018,,-2.47E-04,-2.60E-01,,Note,TDS 2012 - 12:21:44 PM   3/14/2018,,-2.47E-04,4.80E-01
,,,-2.47E-04,-2.00E-01,,,,,-2.47E-04,4.00E-01
,,,-2.46E-04,-2.00E-01,,,,,-2.46E-04,5.20E-01
,,,-2.46E-04,-2.00E-01,,,,,-2.46E-04,4.80E-01
,,,-2.46E-04,-2.20E-01,,,,,-2.46E-04,4.80E-01
,,,-2.46E-04,-2.20E-01,,,,,-2.46E-04,5.60E-01
